study,parameter,value,regional_mean_access_fraction,worst_max_gap_s,site_access_fraction
elevation_min,elevation_min_deg,5.0,0.8276055868288373,9089.223522383138,0.826672896800055
elevation_min,elevation_min_deg,10.0,0.8044360867729721,10573.76213196211,0.8031719708720327
elevation_min,elevation_min_deg,15.0,0.7762002496465316,12506.332545344194,0.7745821799164629
elevation_min,elevation_min_deg,20.0,0.7406132111550368,15210.882618614218,0.7387800336547087
inclination,i_deg,60.0,0.7967153726945994,11419.121394200833,0.7956969672812084
inclination,i_deg,62.0,0.8014499934350542,10892.091479753377,0.8002768756331334
inclination,i_deg,63.43494882292201,0.8044360867729721,10573.76213196211,0.8031719708720327
inclination,i_deg,65.0,0.8073559716779192,10312.702173066791,0.806011027093385
inclination,i_deg,70.0,0.814754011354703,9707.576298707863,0.8132016195678365
argp,argp_deg,240.0,0.7433334367723318,20966.495940202836,0.703822711951555
argp,argp_deg,255.0,0.7899791640197075,14526.55552416197,0.7761825408664389
argp,argp_deg,270.0,0.8044360867729721,10573.76213196211,0.8031719708720327
argp,argp_deg,285.0,0.7899792538448298,14527.366694143391,0.7986238743393193
argp,argp_deg,300.0,0.7433333339171433,20966.51686285943,0.7700427175522127
argp,argp_deg,90.0,0.004498889771837958,604800.0,0.006482427155087531
perigee_altitude,perigee_alt_km,300.0,0.8117309176117313,10243.337128239102,0.8104916701633396
perigee_altitude,perigee_alt_km,600.0,0.8044360867729721,10573.76213196211,0.8031719708720327
perigee_altitude,perigee_alt_km,1000.0,0.7946937945916339,11012.139353182574,0.7933890761456613
perigee_altitude,perigee_alt_km,2000.0,0.7702782758958661,12101.626298878808,0.7688254859222903
